Entry,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,SEP,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,Label
A0A8A2MH63,7.01,3.11,4.79,5.43,4.74,6.02,1.7,4.9,6.27,9.85,2.38,5.29,3.72,3.43,2.97,6.67,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.254,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.063,-0.565,-0.2,-0.479,0.009,4.172,-0.269,-0.156,-0.21,-0.228,-0.209,-0.244,-0.1,-0.213,-0.25,-0.329,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A7U3EEC8,6.86,3.19,5.48,4.77,4.93,5.81,2.03,4.86,6.12,9.42,2.36,5.41,3.83,3.36,3.45,6.41,7.43,8.43,1.1,4.75,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.347,0.269,0.446,0.29,0.268,0.223,0.529,0.471,-0.045,-0.5,-0.181,-0.439,0.001,4.191,-0.265,-0.159,-0.23,-0.21,-0.214,-0.238,-0.114,-0.212,-0.247,-0.321,-0.128,-0.228,-0.18,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.209,POSITIVE
A0A7U3HQH7,7,3.13,4.82,5.43,4.68,5.97,1.7,4.88,6.27,9.9,2.39,5.29,3.73,3.43,2.98,6.66,7.84,8.43,1.04,4.43,0.109,0.102,0.788,0.255,0.48,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.391,0.344,0.265,0.45,0.29,0.267,0.228,0.529,0.471,-0.062,-0.565,-0.201,-0.48,0.009,4.172,-0.268,-0.157,-0.211,-0.228,-0.207,-0.243,-0.1,-0.213,-0.251,-0.33,-0.129,-0.224,-0.177,-0.167,-0.151,-0.26,-0.288,-0.301,-0.069,-0.199,POSITIVE
A0A6C0N6E9,6.86,3.18,5.48,4.79,4.92,5.81,2.04,4.85,6.12,9.41,2.37,5.41,3.86,3.37,3.44,6.43,7.41,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.039,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.043,-0.5,-0.18,-0.439,0.002,4.191,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.115,-0.212,-0.247,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A0U1WHK6,5.26,3.95,1.32,3.95,5.26,2.63,0,3.95,2.63,18.42,1.32,6.58,2.63,0,2.63,9.21,6.58,18.42,0,5.26,0.053,0.053,0.895,0.25,0.579,0.513,0.026,0.105,0.053,0.053,0.895,0.658,0.145,0.237,0.158,0.053,0.342,0.434,0.224,0.579,0.171,0.25,0.211,0.566,0.434,-0.958,-0.878,-0.341,-0.63,-0.022,3.672,-0.224,-0.184,-0.082,-0.184,-0.224,-0.138,0,-0.184,-0.138,-0.45,-0.082,-0.258,-0.138,0,-0.138,-0.317,-0.258,-0.45,0,-0.224,POSITIVE
A0A7U3HEP3,4.73,2.55,4.73,4,5.09,4.73,3.27,8,4,10.55,1.45,2.91,4.36,2.91,2.18,8,8.73,9.45,2.18,6.18,0.095,0.087,0.818,0.284,0.505,0.418,0.044,0.135,0.087,0.095,0.818,0.571,0.167,0.331,0.167,0.04,0.331,0.422,0.247,0.473,0.229,0.32,0.2,0.502,0.498,-0.501,-0.531,-0.217,-0.419,0.028,4.137,-0.208,-0.135,-0.208,-0.186,-0.219,-0.208,-0.161,-0.292,-0.186,-0.342,-0.089,-0.148,-0.197,-0.148,-0.12,-0.292,-0.307,-0.322,-0.12,-0.248,POSITIVE
A0A894Q398,6.86,3.2,5.5,4.79,4.95,5.81,2.04,4.85,6.12,9.4,2.37,5.4,3.85,3.37,3.42,6.43,7.41,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.347,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.043,-0.5,-0.178,-0.439,0.001,4.191,-0.265,-0.159,-0.23,-0.21,-0.215,-0.238,-0.115,-0.212,-0.247,-0.321,-0.128,-0.227,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A886NFG9,7.01,3.13,4.79,5.43,4.72,5.99,1.68,4.9,6.27,9.9,2.38,5.29,3.72,3.43,3,6.65,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.254,0.481,0.4,0.037,0.102,0.102,0.109,0.788,0.531,0.2,0.341,0.145,0.055,0.391,0.345,0.264,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.565,-0.202,-0.479,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.208,-0.243,-0.099,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.152,-0.26,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A7U1M724,8.59,0,5.73,2.86,3.1,10.26,0.95,3.34,7.4,6.68,1.67,5.25,6.21,8.35,6.92,9.07,7.64,2.15,1.19,2.63,0.153,0.086,0.761,0.277,0.432,0.372,0.062,0.069,0.086,0.153,0.761,0.406,0.267,0.439,0.167,0.017,0.434,0.2,0.365,0.353,0.358,0.282,0.279,0.549,0.451,0.693,-0.452,-0.292,-0.409,0.217,4.014,-0.304,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.278,-0.261,-0.099,-0.223,-0.249,-0.299,-0.267,-0.314,-0.283,-0.119,-0.076,-0.138,POSITIVE
A0A7U3CUQ9,6.86,3.2,5.5,4.79,4.93,5.81,2.04,4.85,6.12,9.43,2.37,5.4,3.85,3.37,3.42,6.41,7.41,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.044,-0.5,-0.179,-0.439,0.002,4.191,-0.265,-0.159,-0.23,-0.21,-0.214,-0.238,-0.115,-0.212,-0.247,-0.321,-0.128,-0.227,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A4Y6GLE3,5.26,3.95,1.32,3.95,5.26,2.63,0,3.95,2.63,18.42,1.32,6.58,2.63,0,2.63,9.21,6.58,18.42,0,5.26,0.053,0.053,0.895,0.25,0.579,0.513,0.026,0.105,0.053,0.053,0.895,0.658,0.145,0.237,0.158,0.053,0.342,0.434,0.224,0.579,0.171,0.25,0.211,0.566,0.434,-0.958,-0.878,-0.341,-0.63,-0.022,3.672,-0.224,-0.184,-0.082,-0.184,-0.224,-0.138,0,-0.184,-0.138,-0.45,-0.082,-0.258,-0.138,0,-0.138,-0.317,-0.258,-0.45,0,-0.224,POSITIVE
A0A7U3HEL2,6.21,3.14,4.79,3.77,6.05,6.52,1.34,6.13,4.79,8.48,1.1,6.91,4.56,4.87,3.3,7.78,7.54,7.54,0.94,4.24,0.094,0.086,0.82,0.276,0.475,0.394,0.046,0.112,0.086,0.094,0.82,0.517,0.209,0.353,0.153,0.042,0.339,0.356,0.306,0.45,0.297,0.266,0.236,0.55,0.45,-0.028,-0.514,-0.129,-0.519,0.004,4.159,-0.249,-0.157,-0.21,-0.178,-0.245,-0.257,-0.083,-0.247,-0.21,-0.302,-0.072,-0.266,-0.203,-0.212,-0.162,-0.287,-0.281,-0.281,-0.063,-0.193,POSITIVE
A0A7S6Z659,4.13,5.79,5.79,4.96,6.61,4.13,4.13,8.26,4.13,9.09,0.83,1.65,5.79,4.13,3.31,6.61,4.13,9.92,0.83,5.79,0.116,0.107,0.777,0.264,0.496,0.413,0.058,0.132,0.107,0.116,0.777,0.554,0.19,0.298,0.107,0.066,0.347,0.413,0.24,0.488,0.264,0.273,0.207,0.479,0.521,-0.397,-0.414,-0.079,-0.357,0.019,4.141,-0.19,-0.238,-0.238,-0.215,-0.259,-0.19,-0.19,-0.297,-0.19,-0.314,-0.057,-0.098,-0.238,-0.19,-0.163,-0.259,-0.19,-0.331,-0.057,-0.238,POSITIVE
A0A8B6RGY6,6.85,3.18,5.47,4.79,4.93,5.82,2.04,4.85,6.12,9.41,2.37,5.41,3.82,3.37,3.44,6.47,7.41,8.43,1.1,4.72,0.116,0.103,0.781,0.252,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.139,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.042,-0.501,-0.18,-0.439,0.001,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.239,-0.115,-0.212,-0.247,-0.321,-0.128,-0.228,-0.18,-0.165,-0.167,-0.256,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A8B1IW66,6.85,3.18,5.48,4.79,4.93,5.81,2.04,4.85,6.12,9.41,2.35,5.41,3.85,3.37,3.44,6.43,7.41,8.46,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.055,0.384,0.347,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.043,-0.5,-0.18,-0.439,0.002,4.191,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.115,-0.212,-0.247,-0.321,-0.127,-0.228,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
D2E253,5.26,3.95,1.32,3.95,6.58,2.63,0,3.95,2.63,18.42,1.32,6.58,2.63,0,2.63,9.21,6.58,18.42,0,3.95,0.053,0.053,0.895,0.237,0.592,0.513,0.026,0.105,0.053,0.053,0.895,0.671,0.145,0.237,0.158,0.053,0.342,0.434,0.224,0.592,0.171,0.237,0.211,0.566,0.434,-0.98,-0.884,-0.333,-0.624,-0.011,3.668,-0.224,-0.184,-0.082,-0.184,-0.258,-0.138,0,-0.184,-0.138,-0.45,-0.082,-0.258,-0.138,0,-0.138,-0.317,-0.258,-0.45,0,-0.184,POSITIVE
A0A894UUK4,6.99,3.13,4.79,5.43,4.74,5.99,1.7,4.86,6.24,9.88,2.38,5.29,3.72,3.43,3,6.67,7.85,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.48,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.342,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.268,0.228,0.529,0.471,-0.062,-0.564,-0.2,-0.479,0.008,4.172,-0.268,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.212,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.152,-0.261,-0.288,-0.301,-0.069,-0.199,POSITIVE
A0A8F0ZVC3,8.56,1.35,4.95,4.5,7.21,4.05,1.8,5.41,2.25,12.61,3.15,3.15,3.15,3.15,6.31,4.05,4.05,10.81,0.9,8.56,0.104,0.095,0.802,0.212,0.559,0.446,0.032,0.167,0.095,0.104,0.802,0.572,0.167,0.248,0.081,0.045,0.423,0.383,0.194,0.509,0.212,0.248,0.18,0.441,0.559,-0.684,-0.337,-0.332,-0.338,0.03,4.064,-0.304,-0.084,-0.215,-0.201,-0.273,-0.187,-0.104,-0.228,-0.123,-0.377,-0.157,-0.157,-0.157,-0.157,-0.251,-0.187,-0.187,-0.347,-0.061,-0.304,POSITIVE
A0A8B6RU72,7.01,3.16,4.77,5.43,4.74,5.99,1.73,4.93,6.27,9.85,2.36,5.29,3.72,3.41,2.97,6.67,7.81,8.42,1.04,4.43,0.11,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.11,0.788,0.531,0.2,0.341,0.145,0.055,0.39,0.345,0.264,0.452,0.289,0.267,0.228,0.528,0.472,-0.064,-0.565,-0.199,-0.478,0.008,4.172,-0.269,-0.157,-0.209,-0.228,-0.209,-0.243,-0.101,-0.214,-0.25,-0.329,-0.128,-0.224,-0.177,-0.166,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A8B6RC76,8.83,0,5.73,2.86,3.1,10.26,0.95,3.34,7.4,6.68,1.67,5.25,6.68,8.11,7.16,8.59,7.64,1.91,1.19,2.63,0.155,0.086,0.759,0.27,0.437,0.377,0.067,0.069,0.086,0.155,0.759,0.411,0.274,0.432,0.162,0.017,0.437,0.198,0.365,0.353,0.36,0.282,0.277,0.549,0.451,0.685,-0.44,-0.288,-0.389,0.224,4.011,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.278,-0.261,-0.099,-0.223,-0.261,-0.294,-0.272,-0.304,-0.283,-0.109,-0.076,-0.138,POSITIVE
A0A8B6RDX3,6.85,3.21,5.5,4.79,4.95,5.81,2.04,4.89,6.12,9.41,2.35,5.4,3.85,3.37,3.42,6.43,7.38,8.41,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.347,0.27,0.446,0.29,0.268,0.223,0.528,0.472,-0.045,-0.5,-0.178,-0.439,0.001,4.191,-0.265,-0.159,-0.23,-0.21,-0.215,-0.238,-0.115,-0.213,-0.247,-0.321,-0.127,-0.227,-0.181,-0.165,-0.167,-0.254,-0.278,-0.3,-0.072,-0.208,POSITIVE
A0A8B6RCW9,6.85,3.21,5.5,4.79,4.92,5.79,2.04,4.86,6.12,9.44,2.35,5.4,3.85,3.37,3.42,6.43,7.41,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.347,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.044,-0.501,-0.179,-0.44,0.002,4.191,-0.265,-0.159,-0.23,-0.21,-0.214,-0.238,-0.115,-0.212,-0.247,-0.321,-0.127,-0.227,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A8B6RCV1,6.86,3.2,5.5,4.79,4.92,5.81,2.04,4.88,6.12,9.43,2.35,5.4,3.85,3.37,3.42,6.41,7.41,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.347,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.044,-0.501,-0.18,-0.44,0.002,4.191,-0.265,-0.159,-0.23,-0.21,-0.214,-0.238,-0.115,-0.213,-0.247,-0.321,-0.127,-0.227,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A8B1JKQ9,7.01,3.13,4.79,5.43,4.72,5.99,1.7,4.93,6.27,9.88,2.38,5.29,3.72,3.43,2.97,6.67,7.79,8.42,1.04,4.43,0.109,0.102,0.788,0.254,0.481,0.4,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.391,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.565,-0.2,-0.479,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.208,-0.243,-0.1,-0.214,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A899YY67,7.01,3.13,4.79,5.43,4.77,5.99,1.7,4.88,6.27,9.85,2.38,5.29,3.72,3.43,2.97,6.67,7.83,8.4,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.063,-0.564,-0.199,-0.479,0.008,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.213,-0.25,-0.329,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.288,-0.3,-0.069,-0.199,POSITIVE
A0A8B6RA20,7.89,0,0,5.26,10.53,2.63,0,5.26,0,23.68,2.63,2.63,0,0,2.63,7.89,10.53,15.79,0,2.63,0.026,0.053,0.921,0.211,0.684,0.553,0,0.132,0.053,0.026,0.921,0.763,0.053,0.263,0.184,0.026,0.421,0.447,0.132,0.658,0.079,0.237,0.184,0.474,0.526,-1.536,-1.035,-0.592,-0.674,0.123,3.312,-0.289,0,0,-0.224,-0.342,-0.138,0,-0.224,0,-0.492,-0.138,-0.138,0,0,-0.138,-0.289,-0.342,-0.42,0,-0.138,POSITIVE
A0A6H1XPS1,6.21,3.14,4.79,3.77,6.13,6.52,1.34,5.97,4.79,8.41,1.1,6.91,4.56,4.87,3.3,7.78,7.62,7.62,0.94,4.24,0.094,0.086,0.82,0.277,0.474,0.393,0.046,0.113,0.086,0.094,0.82,0.517,0.209,0.353,0.154,0.042,0.338,0.357,0.306,0.449,0.297,0.266,0.236,0.551,0.449,-0.023,-0.513,-0.127,-0.519,0.002,4.159,-0.249,-0.157,-0.21,-0.178,-0.247,-0.257,-0.083,-0.243,-0.21,-0.3,-0.072,-0.266,-0.203,-0.212,-0.162,-0.287,-0.283,-0.283,-0.063,-0.193,POSITIVE
A0A8A5T0A0,8.83,0,5.73,2.86,3.1,10.26,0.95,3.34,7.16,6.68,1.67,5.25,6.21,8.11,7.4,9.07,7.64,1.91,1.19,2.63,0.155,0.086,0.759,0.274,0.432,0.372,0.062,0.069,0.086,0.155,0.759,0.406,0.27,0.437,0.167,0.017,0.437,0.198,0.365,0.353,0.353,0.282,0.282,0.549,0.451,0.707,-0.442,-0.294,-0.398,0.217,4.009,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.272,-0.261,-0.099,-0.223,-0.249,-0.294,-0.278,-0.314,-0.283,-0.109,-0.076,-0.138,POSITIVE
A0A8B1J5J5,7.01,3.13,4.79,5.43,4.77,5.99,1.7,4.9,6.27,9.85,2.38,5.29,3.7,3.43,2.97,6.65,7.83,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.531,0.199,0.341,0.145,0.055,0.39,0.345,0.264,0.451,0.289,0.267,0.228,0.528,0.472,-0.064,-0.564,-0.2,-0.479,0.008,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.213,-0.25,-0.329,-0.128,-0.224,-0.176,-0.167,-0.151,-0.26,-0.288,-0.301,-0.069,-0.199,POSITIVE
A0A7S6HA25,6.86,3.2,5.48,4.79,4.92,5.81,2.04,4.83,6.12,9.43,2.35,5.41,3.86,3.37,3.44,6.41,7.43,8.43,1.1,4.71,0.116,0.103,0.781,0.251,0.476,0.392,0.039,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.042,-0.501,-0.18,-0.439,0.002,4.191,-0.265,-0.159,-0.23,-0.21,-0.214,-0.238,-0.115,-0.211,-0.247,-0.321,-0.127,-0.228,-0.181,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A8B1JX20,6.86,3.18,5.47,4.79,4.92,5.79,2.04,4.82,6.1,9.44,2.37,5.41,3.83,3.37,3.45,6.43,7.41,8.47,1.1,4.74,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.346,0.269,0.446,0.29,0.268,0.223,0.529,0.471,-0.044,-0.5,-0.181,-0.439,0.001,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.238,-0.115,-0.211,-0.246,-0.321,-0.128,-0.228,-0.18,-0.165,-0.168,-0.254,-0.278,-0.302,-0.072,-0.208,POSITIVE
A0A8B1KKK3,1.67,0,5,8.33,5,0,1.67,16.67,6.67,13.33,5,6.67,1.67,5,1.67,6.67,5,5,1.67,3.33,0.1,0.133,0.767,0.2,0.5,0.383,0.017,0.1,0.133,0.1,0.767,0.55,0.183,0.3,0.117,0.05,0.433,0.367,0.2,0.433,0.333,0.233,0.083,0.317,0.683,-0.685,-0.241,-0.534,-0.575,0.04,3.851,-0.098,0,-0.216,-0.299,-0.216,0,-0.098,-0.431,-0.26,-0.388,-0.216,-0.26,-0.098,-0.216,-0.098,-0.26,-0.216,-0.216,-0.098,-0.164,POSITIVE
A0A7U1QT52,7.01,3.13,4.79,5.43,4.77,5.99,1.7,4.93,6.27,9.85,2.36,5.29,3.7,3.43,2.97,6.67,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.199,0.341,0.145,0.055,0.39,0.345,0.264,0.452,0.289,0.267,0.228,0.528,0.472,-0.064,-0.564,-0.2,-0.479,0.008,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.214,-0.25,-0.329,-0.128,-0.224,-0.176,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A8B1J772,6.99,3.13,4.79,5.43,4.72,5.99,1.7,4.9,6.27,9.88,2.38,5.29,3.7,3.43,2.97,6.65,7.83,8.44,1.04,4.45,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.199,0.341,0.145,0.055,0.39,0.345,0.264,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.565,-0.201,-0.479,0.007,4.172,-0.268,-0.157,-0.21,-0.228,-0.208,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.176,-0.167,-0.151,-0.26,-0.288,-0.301,-0.069,-0.2,POSITIVE
A0A6M3HSG4,6.99,3.13,4.79,5.43,4.72,5.99,1.7,4.88,6.27,9.88,2.38,5.29,3.72,3.43,2.97,6.67,7.83,8.44,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.529,0.471,-0.063,-0.565,-0.2,-0.479,0.008,4.172,-0.268,-0.157,-0.21,-0.228,-0.208,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.288,-0.301,-0.069,-0.199,POSITIVE
A0A6C0R287,6.86,3.18,5.47,4.81,4.92,5.81,2.04,4.83,6.12,9.43,2.37,5.41,3.85,3.37,3.44,6.43,7.43,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.139,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.042,-0.5,-0.18,-0.439,0.002,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.238,-0.115,-0.211,-0.247,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A886NDH5,6.86,3.18,5.48,4.79,4.92,5.79,2.04,4.85,6.12,9.43,2.37,5.41,3.85,3.37,3.44,6.43,7.41,8.44,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.044,-0.5,-0.18,-0.439,0.002,4.191,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.115,-0.212,-0.247,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A8A3ZKI0,6.21,3.22,4.79,3.77,6.05,6.44,1.34,6.05,4.79,8.41,1.1,6.91,4.56,4.87,3.38,7.78,7.62,7.62,0.86,4.24,0.095,0.086,0.819,0.277,0.473,0.393,0.046,0.112,0.086,0.095,0.819,0.517,0.21,0.353,0.154,0.043,0.339,0.357,0.305,0.449,0.297,0.266,0.236,0.551,0.449,-0.017,-0.515,-0.13,-0.52,0.002,4.158,-0.249,-0.16,-0.21,-0.178,-0.245,-0.255,-0.083,-0.245,-0.21,-0.3,-0.072,-0.266,-0.203,-0.212,-0.165,-0.287,-0.283,-0.283,-0.059,-0.193,POSITIVE
A0A886MYL0,7.01,3.13,4.79,5.43,4.72,5.99,1.7,4.9,6.27,9.88,2.38,5.29,3.72,3.43,2.97,6.67,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.391,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.064,-0.565,-0.2,-0.479,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.208,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A8B6RV40,9.07,0,5.73,2.63,3.1,10.26,0.95,3.58,7.4,6.44,1.67,5.25,6.68,8.35,6.92,8.83,7.4,1.91,1.19,2.63,0.153,0.084,0.764,0.272,0.439,0.379,0.067,0.069,0.084,0.153,0.764,0.411,0.272,0.432,0.162,0.017,0.434,0.198,0.368,0.356,0.36,0.282,0.282,0.551,0.449,0.679,-0.449,-0.277,-0.39,0.231,4.008,-0.314,0,-0.236,-0.138,-0.155,-0.337,-0.064,-0.172,-0.278,-0.255,-0.099,-0.223,-0.261,-0.299,-0.267,-0.309,-0.278,-0.109,-0.076,-0.138,POSITIVE
A0A8B1KL08,2.5,2.5,5,7.5,15,0,2.5,12.5,0,27.5,5,2.5,0,2.5,0,5,2.5,2.5,2.5,2.5,0.025,0.125,0.85,0.15,0.675,0.45,0,0.2,0.125,0.025,0.85,0.725,0.05,0.225,0.075,0.075,0.475,0.4,0.125,0.65,0.175,0.175,0.1,0.225,0.775,-1.897,-0.24,-0.232,-0.48,0.031,3.424,-0.133,-0.133,-0.216,-0.28,-0.411,0,-0.133,-0.375,0,-0.512,-0.216,-0.133,0,-0.133,0,-0.216,-0.133,-0.133,-0.133,-0.133,POSITIVE
A0A8B1Q7X9,8.83,0,5.49,2.86,3.1,10.26,0.95,3.58,7.4,6.68,1.67,5.25,6.68,8.35,6.92,8.83,7.4,1.91,1.19,2.63,0.153,0.084,0.764,0.272,0.439,0.379,0.067,0.069,0.084,0.153,0.764,0.411,0.272,0.432,0.162,0.017,0.437,0.198,0.365,0.356,0.36,0.282,0.279,0.547,0.453,0.666,-0.448,-0.286,-0.393,0.228,4.012,-0.309,0,-0.23,-0.147,-0.155,-0.337,-0.064,-0.172,-0.278,-0.261,-0.099,-0.223,-0.261,-0.299,-0.267,-0.309,-0.278,-0.109,-0.076,-0.138,POSITIVE
